"PlayerName","PlayerPosition","Team","eMIN","eFG","eFT","eThrPM","eREB","eAST","eSTL","eBLK","eTO","ePTS","FGA2014","FTA2014"
"Anthony Davis","PF,C","NOR",35.9,0.53,0.807,0.4,10.4,2.8,1.5,3,1.5,26,17.6323529411765,6.77941176470588
"Stephen Curry","PG,SG","GS",33.5,0.49,0.904,3.8,4.1,7.6,2.1,0.2,3.2,23.8,16.7625,4.2125
"James Harden","SG,SF","HOU",37.1,0.459,0.871,2.7,5.3,5.9,2,0.6,3.5,27.2,18.1481481481481,10.1728395061728
"Kevin Durant","SF,PF","OKC",37.7,0.512,0.878,2.2,6.9,4.7,1.2,0.8,3.3,28.1,17.2962962962963,6.33333333333333
"LeBron James","SF,PF","CLE",36.5,0.502,0.726,1.9,6.2,7.3,1.6,0.6,3.8,24.8,18.536231884058,7.65217391304348
"Chris Paul","PG","LAC",34.8,0.489,0.887,1.8,4.2,10.9,2.1,0.2,2.3,18.8,14.2682926829268,3.91463414634146
"Russell Westbrook","PG","OKC",33.8,0.437,0.828,1.3,6.6,8,2,0.2,4.1,24.4,21.955223880597,9.76119402985075
"DeMarcus Cousins","PF,C","SAC",34,0.474,0.762,0,12.7,4,1.7,1.7,4,24.4,18.0677966101695,9.16949152542373
"Kawhi Leonard","SG,SF","SA",32.8,0.491,0.813,1.3,7.5,2.7,2.3,0.8,1.7,19,12.84375,3.9375
"Carmelo Anthony","SF,PF","NY",37.3,0.448,0.825,1.8,6.9,3,1.1,0.5,2.4,26.1,20.15,5.925
"Klay Thompson","SG,SF","GS",32.3,0.467,0.889,3.2,3.1,3,1.2,0.6,2,22.7,16.8701298701299,3.32467532467532
"Jimmy Butler","SG,SF","CHI",37.8,0.468,0.839,1.4,5.9,3.6,1.8,0.5,1.5,21,14.0307692307692,7.12307692307692
"Damian Lillard","PG","POR",37.5,0.42,0.866,2.8,4.8,6.5,1.1,0.3,3,25.5,16.5853658536585,4.85365853658537
"John Wall","PG","WSH",35.8,0.45,0.799,0.8,4.4,9.9,1.8,0.6,3.7,17.4,14.7594936708861,4.58227848101266
"Rudy Gobert","C","UTA",35.5,0.574,0.633,0,12.7,1.9,1,2.8,1.9,13.5,5.20731707317073,3.32926829268293
"LaMarcus Aldridge","PF,C","SA",31.9,0.501,0.837,0.1,9.8,1.9,0.7,1.1,1.5,19.6,19.9295774647887,5.09859154929577
"Serge Ibaka","PF,C","OKC",32.8,0.527,0.804,1.3,8,0.9,0.5,2.6,1.5,15.4,12.28125,1.71875
"Al Horford","PF,C","ATL",30.9,0.544,0.746,0.1,7,3.3,0.9,1.3,1.5,15.7,12.6973684210526,1.85526315789474
"Blake Griffin","PF,C","LAC",35.9,0.514,0.735,0.1,8.3,5.1,0.9,0.6,2.5,24.1,17.0746268656716,6.37313432835821
"Paul George","SG,SF,PF","IND",36.6,0.433,0.842,2.2,7.4,3.7,1.8,0.6,2.9,22.5,8.16666666666667,1.83333333333333
"Paul Millsap","PF,C","ATL",33.1,0.48,0.749,1.1,8,3.2,1.7,1,2.3,17.1,12.7397260273973,4.61643835616438
"Kevin Love","PF,C","CLE",34.8,0.44,0.806,2.1,10,2.4,0.7,0.5,1.9,18,12.6933333333333,4.28
"Nikola Vucevic","PF,C","ORL",34.6,0.528,0.759,0,11.5,2,0.8,1,2,18.8,16.2972972972973,2.94594594594595
"Kyrie Irving","PG,SG","CLE",34.3,0.461,0.862,2.1,2.8,4.8,1.5,0.3,2.5,20.4,16.4666666666667,4.86666666666667
"Marc Gasol","C","MEM",33.9,0.49,0.797,0,8.1,3.8,0.9,1.7,2.2,18.9,13.2345679012346,5.4320987654321
"Kyle Lowry","PG","TOR",35.1,0.415,0.81,2,4.8,7.1,1.7,0.2,2.5,18.7,14.9,4.45714285714286
"Draymond Green","SF,PF","GS",32.3,0.443,0.663,1.4,8.3,3.9,1.6,1.5,1.9,11.9,9.68354430379747,2.53164556962025
"Nerlens Noel","PF,C","PHI",32.8,0.482,0.627,0,8.9,2,1.9,2.2,2.1,12.8,8.70666666666667,3.06666666666667
"Pau Gasol","PF,C","CHI",33.7,0.488,0.781,0.1,10,2.9,0.4,1.4,2.1,17.8,14.7820512820513,4.69230769230769
"DeAndre Jordan","C","LAC",34.1,0.693,0.404,0,13.9,0.7,1,2.3,1.4,11.2,6.51219512195122,5.74390243902439
"Brook Lopez","C","BKN",31.8,0.522,0.81,0,8.3,0.8,0.6,1.8,1.6,19.4,13.7083333333333,3.80555555555556
"Hassan Whiteside","C","MIA",28.5,0.599,0.49,0,11.9,0.1,0.7,2.6,1.6,14.5,8.0625,3.25
"Eric Bledsoe","PG,SG","PHO",35.7,0.452,0.794,1.2,5.3,6.1,1.7,0.6,3.2,18,12.9135802469136,5.44444444444444
"Mike Conley","PG","MEM",33,0.45,0.842,1.7,3,5.9,1.5,0.2,2.2,17,12.6,3.55714285714286
"Victor Oladipo","PG,SG","ORL",35.3,0.443,0.805,1.2,4.3,4.2,1.9,0.3,2.8,18.8,15.0833333333333,4.44444444444444
"Andre Drummond","PF,C","DET",33,0.513,0.401,0,14.3,0.9,0.9,2.1,1.7,17.2,11.719512195122,4.45121951219512
"Chris Bosh","PF,C","MIA",35.6,0.49,0.786,1.3,6.8,2,1,0.7,2,21.5,16.9318181818182,5.27272727272727
"Al Jefferson","PF,C","CHA",32,0.492,0.691,0,9,1.9,0.8,1.1,1.3,17.4,15.5384615384615,2.53846153846154
