"gameDate","chosenTeam","homeaway","oppTeam"
"20151027","ATL","home","DET"
"20151027","CHI","home","CLE"
"20151027","CLE","away","CHI"
"20151027","DET","away","ATL"
"20151027","GS","home","NOR"
"20151027","NOR","away","GS"
"20151028","BOS","home","PHI"
"20151028","BKN","home","CHI"
"20151028","CHA","away","MIA"
"20151028","CHI","away","BKN"
"20151028","CLE","away","MEM"
"20151028","DAL","away","PHO"
"20151028","DEN","away","HOU"
"20151028","DET","home","UTA"
"20151028","HOU","home","DEN"
"20151028","IND","away","TOR"
"20151028","LAC","away","SAC"
"20151028","LAL","home","MIN"
"20151028","MEM","home","CLE"
"20151028","MIA","home","CHA"
"20151028","MIL","home","NYK"
"20151028","MIN","away","LAL"
"20151028","NOR","away","POR"
"20151028","NY","away","MIL"
"20151028","OKC","home","SAS"
"20151028","ORL","home","WSH"
"20151028","PHI","away","BOS"
"20151028","PHO","home","DAL"
"20151028","POR","home","NOR"
"20151028","SAC","home","LAC"
"20151028","SA","away","OKC"
"20151028","TOR","home","IND"
"20151028","UTA","away","DET"
"20151028","WSH","away","ORL"
"20151029","ATL","away","NYK"
"20151029","DAL","away","LAC"
"20151029","IND","home","MEM"
"20151029","LAC","home","DAL"
"20151029","MEM","away","IND"
"20151029","NY","home","ATL"
"20151030","ATL","home","CHA"
"20151030","BOS","home","TOR"
"20151030","BKN","away","SAS"
"20151030","CHA","away","ATL"
"20151030","CHI","away","DET"
"20151030","CLE","home","MIA"
"20151030","DEN","home","MIN"
"20151030","DET","home","CHI"
"20151030","GS","away","HOU"
"20151030","HOU","home","GS"
"20151030","LAL","away","SAC"
"20151030","MIA","away","CLE"
"20151030","MIL","home","WSH"
"20151030","MIN","away","DEN"
"20151030","OKC","away","ORL"
"20151030","ORL","home","OKC"
"20151030","PHI","home","UTA"
"20151030","PHO","home","POR"
"20151030","POR","away","PHO"
"20151030","SAC","home","LAL"
"20151030","SA","home","BKN"
"20151030","TOR","away","BOS"
"20151030","UTA","away","PHI"
"20151030","WSH","away","MIL"
"20151031","BKN","away","MEM"
"20151031","GS","away","NOR"
"20151031","IND","home","UTA"
"20151031","LAC","home","SAC"
"20151031","MEM","home","BKN"
"20151031","NOR","home","GS"
"20151031","NY","away","WSH"
"20151031","PHO","away","POR"
"20151031","POR","home","PHO"
"20151031","SAC","away","LAC"
"20151031","UTA","away","IND"
"20151031","WSH","home","NYK"
"20151101","ATL","away","CHA"
"20151101","BOS","home","SAS"
"20151101","CHA","home","ATL"
"20151101","CHI","home","ORL"
"20151101","DAL","away","LAL"
"20151101","DEN","away","OKC"
"20151101","HOU","away","MIA"
"20151101","LAL","home","DAL"
"20151101","MIA","home","HOU"
"20151101","MIL","away","TOR"
"20151101","OKC","home","DEN"
"20151101","ORL","away","CHI"
"20151101","SA","away","BOS"
"20151101","TOR","home","MIL"
"20151102","BKN","home","MIL"
"20151102","CLE","away","PHI"
"20151102","GS","home","MEM"
"20151102","HOU","home","OKC"
"20151102","LAC","home","PHO"
"20151102","MEM","away","GS"
"20151102","MIL","away","BKN"
"20151102","MIN","home","POR"
"20151102","NY","home","SAS"
"20151102","OKC","away","HOU"
"20151102","PHI","home","CLE"
"20151102","PHO","away","LAC"
"20151102","POR","away","MIN"
"20151102","SA","away","NYK"
"20151103","ATL","away","MIA"
"20151103","CHA","home","CHI"
"20151103","CHI","away","CHA"
"20151103","DAL","home","TOR"
"20151103","DEN","away","LAL"
"20151103","DET","home","IND"
"20151103","IND","away","DET"
"20151103","LAL","home","DEN"
"20151103","MEM","away","SAC"
"20151103","MIA","home","ATL"
"20151103","NOR","home","ORL"
"20151103","ORL","away","NOR"
"20151103","SAC","home","MEM"
"20151103","TOR","away","DAL"
"20151104","ATL","home","BKN"
"20151104","BOS","away","IND"
"20151104","BKN","away","ATL"
"20151104","CLE","home","NYK"
"20151104","GS","home","LAC"
"20151104","HOU","home","ORL"
"20151104","IND","home","BOS"
"20151104","LAC","away","GS"
"20151104","MIL","home","PHI"
"20151104","NY","away","CLE"
"20151104","OKC","home","TOR"
"20151104","ORL","away","HOU"
"20151104","PHI","away","MIL"
"20151104","PHO","home","SAC"
"20151104","POR","away","UTA"
"20151104","SAC","away","PHO"
"20151104","SA","away","WSH"
"20151104","TOR","away","OKC"
"20151104","UTA","home","POR"
"20151104","WSH","home","SAS"
"20151105","CHA","away","DAL"
"20151105","CHI","home","OKC"
"20151105","DAL","home","CHA"
"20151105","DEN","home","UTA"
"20151105","MEM","away","POR"
"20151105","MIA","away","MIN"
"20151105","MIN","home","MIA"
"20151105","OKC","away","CHI"
"20151105","POR","home","MEM"
"20151105","UTA","away","DEN"
"20151106","ATL","away","NOR"
"20151106","BOS","home","WSH"
"20151106","BKN","home","LAL"
"20151106","CLE","home","PHI"
"20151106","DEN","away","GS"
"20151106","DET","away","PHO"
"20151106","GS","home","DEN"
"20151106","HOU","away","SAC"
"20151106","IND","home","MIA"
"20151106","LAL","away","BKN"
"20151106","MIA","away","IND"
"20151106","MIL","away","NYK"
"20151106","NOR","home","ATL"
"20151106","NY","home","MIL"
"20151106","ORL","home","TOR"
"20151106","PHI","away","CLE"
"20151106","PHO","home","DET"
"20151106","SAC","home","HOU"
"20151106","TOR","away","ORL"
"20151106","WSH","away","BOS"
"20151107","ATL","home","WSH"
"20151107","BKN","away","MIL"
"20151107","CHA","away","SAS"
"20151107","CHI","home","MIN"
"20151107","DAL","home","NOR"
"20151107","GS","away","SAC"
"20151107","HOU","away","LAC"
"20151107","LAC","home","HOU"
"20151107","MEM","away","UTA"
"20151107","MIL","home","BKN"
"20151107","MIN","away","CHI"
"20151107","NOR","away","DAL"
"20151107","ORL","away","PHI"
"20151107","PHI","home","ORL"
"20151107","SAC","home","GS"
"20151107","SA","home","CHA"
"20151107","UTA","home","MEM"
"20151107","WSH","away","ATL"
"20151108","CLE","home","IND"
"20151108","DET","away","POR"
"20151108","IND","away","CLE"
"20151108","LAL","away","NYK"
"20151108","MIA","home","TOR"
"20151108","NY","home","LAL"
"20151108","OKC","home","PHO"
"20151108","PHO","away","OKC"
"20151108","POR","home","DET"
"20151108","TOR","away","MIA"
"20151109","ATL","home","MIN"
"20151109","CHI","away","PHI"
"20151109","DEN","home","POR"
"20151109","DET","away","GS"
"20151109","GS","home","DET"
"20151109","IND","home","ORL"
"20151109","LAC","home","MEM"
"20151109","MEM","away","LAC"
"20151109","MIN","away","ATL"
"20151109","ORL","away","IND"
"20151109","PHI","home","CHI"
"20151109","POR","away","DEN"
"20151109","SAC","home","SAS"
"20151109","SA","away","SAC"
"20151110","BOS","away","MIL"
"20151110","CHA","away","MIN"
"20151110","CLE","home","UTA"
"20151110","DAL","away","NOR"
"20151110","LAL","away","MIA"
"20151110","MIA","home","LAL"
"20151110","MIL","home","BOS"
"20151110","MIN","home","CHA"
"20151110","NOR","home","DAL"
"20151110","NY","away","TOR"
"20151110","OKC","away","WSH"
"20151110","TOR","home","NYK"
"20151110","UTA","away","CLE"
"20151110","WSH","home","OKC"
"20151111","ATL","home","NOR"
"20151111","BOS","home","IND"
"20151111","BKN","away","HOU"
"20151111","CHA","home","NYK"
"20151111","DAL","home","LAC"
"20151111","DEN","home","MIL"
"20151111","DET","away","SAC"
"20151111","GS","away","MEM"
"20151111","HOU","home","BKN"
"20151111","IND","away","BOS"
"20151111","LAC","away","DAL"
"20151111","LAL","away","ORL"
"20151111","MEM","home","GS"
"20151111","MIL","away","DEN"
"20151111","NOR","away","ATL"
"20151111","NY","away","CHA"
"20151111","ORL","home","LAL"
"20151111","PHI","home","TOR"
"20151111","POR","home","SAS"
"20151111","SAC","home","DET"
"20151111","SA","away","POR"
"20151111","TOR","away","PHI"
"20151112","GS","away","MIN"
"20151112","LAC","away","PHO"
"20151112","MIA","home","UTA"
"20151112","MIN","home","GS"
"20151112","PHO","home","LAC"
"20151112","UTA","away","MIA"
"20151113","ATL","away","BOS"
"20151113","BOS","home","ATL"
"20151113","BKN","away","SAC"
"20151113","CHA","away","CHI"
"20151113","CHI","home","CHA"
"20151113","CLE","away","NYK"
"20151113","DAL","home","LAL"
"20151113","DEN","home","HOU"
"20151113","HOU","away","DEN"
"20151113","IND","home","MIN"
"20151113","LAL","away","DAL"
"20151113","MEM","home","POR"
"20151113","MIN","away","IND"
"20151113","NOR","away","TOR"
"20151113","NY","home","CLE"
"20151113","OKC","home","PHI"
"20151113","ORL","home","UTA"
"20151113","PHI","away","OKC"
"20151113","POR","away","MEM"
"20151113","SAC","home","BKN"
"20151113","TOR","home","NOR"
"20151113","UTA","away","ORL"
"20151114","BKN","away","GS"
"20151114","CLE","away","MIL"
"20151114","DAL","away","HOU"
"20151114","DEN","away","PHO"
"20151114","DET","away","LAC"
"20151114","GS","home","BKN"
"20151114","HOU","home","DAL"
"20151114","LAC","home","DET"
"20151114","MIL","home","CLE"
"20151114","ORL","away","WSH"
"20151114","PHI","away","SAS"
"20151114","PHO","home","DEN"
"20151114","SA","home","PHI"
"20151114","WSH","home","ORL"
"20151115","ATL","home","UTA"
"20151115","BOS","away","OKC"
"20151115","CHA","home","POR"
"20151115","DET","away","LAL"
"20151115","LAL","home","DET"
"20151115","MEM","away","MIN"
"20151115","MIN","home","MEM"
"20151115","NOR","away","NYK"
"20151115","NY","home","NOR"
"20151115","OKC","home","BOS"
"20151115","POR","away","CHA"
"20151115","SAC","home","TOR"
"20151115","TOR","away","SAC"
"20151115","UTA","away","ATL"
"20151116","BOS","away","HOU"
"20151116","CHI","home","IND"
"20151116","DAL","away","PHI"
"20151116","HOU","home","BOS"
"20151116","IND","away","CHI"
"20151116","LAL","away","PHO"
"20151116","MEM","home","OKC"
"20151116","OKC","away","MEM"
"20151116","PHI","home","DAL"
"20151116","PHO","home","LAL"
"20151116","POR","away","SAS"
"20151116","SA","home","POR"
"20151117","ATL","away","BKN"
"20151117","BKN","home","ATL"
"20151117","CHA","away","NYK"
"20151117","CLE","away","DET"
"20151117","DEN","away","NOR"
"20151117","DET","home","CLE"
"20151117","GS","home","TOR"
"20151117","MIA","home","MIN"
"20151117","MIL","away","WSH"
"20151117","MIN","away","MIA"
"20151117","NOR","home","DEN"
"20151117","NY","home","CHA"
"20151117","TOR","away","GS"
"20151117","WSH","home","MIL"
"20151118","ATL","home","SAC"
"20151118","BOS","home","DAL"
"20151118","BKN","away","CHA"
"20151118","CHA","home","BKN"
"20151118","CHI","away","PHO"
"20151118","DAL","away","BOS"
